model,rain_level,precision,recall,f1_score,mAP_0.5,mAP_0.5_0.95,fitness
yolo11n.pt,No Rain,0.9196003218360078,0.898912048014912,0.9091385050347998,0.9318234688954506,0.5548066472410477,0.592508329406488
yolo11n.pt,Rain Level 1,0.9575586908213326,0.8560098843345109,0.9039412299069396,0.9309999085210576,0.5662604722653384,0.6027344158909103
yolo11n.pt,Rain Level 2,0.9256813949157918,0.8726287262872628,0.8983724965667085,0.9322577669283778,0.5631899361711461,0.6000967192468694
yolo11n.pt,Rain Level 3,0.9150644046217374,0.8759058834996881,0.8950570549442611,0.9308074195876007,0.5603598023667713,0.5974045640888542
yolo11n.pt,Rain Level 4,0.9437994967548935,0.8102981029810298,0.8719685175215723,0.9060673996071484,0.5498766294163864,0.5854957064354626
yolo11n.pt,Rain Level 5,0.9205367976536448,0.8162491941983874,0.8652619526410447,0.8937805432119883,0.5403863050960951,0.5757257289076845
yolo11s.pt,No Rain,0.9243911959889973,0.8455284552845529,0.8832028724703019,0.9206556380914861,0.5492621066280449,0.5864014597743891
yolo11s.pt,Rain Level 1,0.9273926898365483,0.8536585365853658,0.888999344545852,0.9254269162381039,0.5604328866519288,0.5969322896105465
yolo11s.pt,Rain Level 2,0.9136634429948706,0.8590785907859079,0.8855306503751552,0.9222829333445073,0.5574509402456027,0.5939341395554931
yolo11s.pt,Rain Level 3,0.9070550618418557,0.8428184281842819,0.8737577040346277,0.9144011013360236,0.559206753160318,0.5947261879778887
yolo11s.pt,Rain Level 4,0.9204065889327053,0.8184281842818428,0.8664269946576384,0.9018196827606122,0.5511105069068405,0.5861814244922177
yolo11s.pt,Rain Level 5,0.9134844573815069,0.8455284552845529,0.8781937831321259,0.9007374861197119,0.5493275448383896,0.5844685389665218
yolo11m.pt,No Rain,0.9366463647747041,0.8413914463571792,0.8864673570482662,0.915131614508222,0.5490930248576409,0.585696883822699
yolo11m.pt,Rain Level 1,0.9029944311150391,0.8807588075880759,0.8917380287262107,0.9307004103358911,0.5607146438062057,0.5977132204591742
yolo11m.pt,Rain Level 2,0.8987791857703644,0.8861788617886179,0.8924345498590363,0.9293503201842372,0.563751606907127,0.600311478234838
yolo11m.pt,Rain Level 3,0.8957550006246301,0.8807588075880759,0.8881936099724852,0.9277037843533075,0.5616748730473048,0.5982777641779051
yolo11m.pt,Rain Level 4,0.9129746340609961,0.8529204670604359,0.8819263961977414,0.9233648883529754,0.5549375165544131,0.5917802537342693
yolo11m.pt,Rain Level 5,0.9133648248724169,0.8285571680193178,0.8688965128782155,0.9030113503172499,0.5401816903678149,0.5764646563627585
yolo11l.pt,No Rain,0.9058779416761585,0.8346452877366219,0.8688039809036568,0.8964945883416637,0.5497586555848978,0.5844322488605744
yolo11l.pt,Rain Level 1,0.9248066765164608,0.8332712118107142,0.8766560175155339,0.9073415100620292,0.5572234835489955,0.592235286200299
yolo11l.pt,Rain Level 2,0.9149405215886142,0.8453606273230471,0.8787754229117324,0.9036762786270971,0.5567104116060991,0.5914069983081989
yolo11l.pt,Rain Level 3,0.9251339766381266,0.8238482384823849,0.8715583159443483,0.9021266573558314,0.5594547766831737,0.5937219647504395
yolo11l.pt,Rain Level 4,0.9212395689818043,0.8241607379489759,0.8700004004639503,0.9056120547779658,0.5605699681595626,0.595074176821403
yolo11l.pt,Rain Level 5,0.9269585990301379,0.7967479674796748,0.8569351582972748,0.9003687462188723,0.5464920830283658,0.5818797493474165
yolo11x.pt,No Rain,0.9201384113877782,0.8238482384823849,0.8693351057913625,0.8863695769895523,0.5246983175663152,0.560865443508639
yolo11x.pt,Rain Level 1,0.9401272070126635,0.8590785907859079,0.8977774050618632,0.9081301197189029,0.5434846842977212,0.5799492278398395
yolo11x.pt,Rain Level 2,0.9288002934695613,0.8484559877985379,0.8868120808114468,0.8983070984087875,0.5401032667719707,0.5759236499356524
yolo11x.pt,Rain Level 3,0.9405047307358119,0.8346883468834688,0.8844427671910052,0.9018771586713434,0.5380582233932097,0.5744401169210231
yolo11x.pt,Rain Level 4,0.9235729531576847,0.8514746913802343,0.8860595913320252,0.9058638942620308,0.5408784141779047,0.5773769621863174
yolo11x.pt,Rain Level 5,0.8877650415255047,0.8184281842818428,0.8516877455785344,0.8910753357559678,0.5375027984454592,0.5728600521765101
